"","conference","hoopr","FGM_off","FGA_off","3PTM_off","3PTA_off","FTM_off","FTA_off","OREB_off","DREB_off","REB_off","AST_off","STL_off","BLK_off","TO_off","PF_off","PTS_off","result_off","FGM_def","FGA_def","3PTM_def","3PTA_def","FTM_def","FTA_def","OREB_def","DREB_def","REB_def","AST_def","STL_def","BLK_def","TO_def","PF_def","PTS_def","result_def","year","Team","Conference","power_conf"
"95","Southern","Furman",0.0345570023106234,0.0381522753253713,0.050226646798162,0.101297047647544,-0.0252197511760803,-0.0465434670795955,-0.00139533593001607,-0.00763144751136658,-0.00902678344138265,0.0579031885647617,0.0233226881181939,0.00923345848664632,-0.0190684857403654,-0.0161876213084451,0.0941209002433284,0.484848484848485,-0.00760844126977047,0.00158065392842065,0.0195357312906662,0.0493104273542751,0.022784401832051,0.03413608606623,0.00788764852982703,0.00884182450931279,0.0167294730391398,-0.00276367895678537,0.00802940520516849,-0.00263638063206835,-0.00871288326773487,0.0313623793058402,0.0271315701135705,0.484848484848485,"2021-22","Furman","Southern",FALSE
"96","Sunbelt","Georgia Southern",-0.0165466882994328,-0.0257833549021895,-0.0275137098618095,-0.0371711210164462,-0.00572256139053499,0.00430704314704556,-0.00187749038651226,-0.00721554768740639,-0.00909303807391865,-0.0320833053874972,0.00671079272281025,0.00101406693825493,0.0220107655309772,0.0293189241246708,-0.0663296478512101,0.625,0.0182888582297177,0.00879192224188774,-0.00209698006948922,-0.0121274752188459,-0.0264310566993405,-0.0439051915842037,-0.0152304572485431,-0.00653672557885514,-0.0217671828273983,0.0201478334866674,-0.0123617833960578,0.00454305659616463,-0.00470409519338124,-0.00650107267583659,0.00804967969060568,0.576923076923077,"2021-22","Georgia Southern","Sunbelt",FALSE
"97","Big South","Gardner-Webb",-0.010059339032049,-0.0038962894230499,-0.00411971805466194,-0.00126716427382484,-0.0234515084578764,-0.0304664975673102,-0.00325364438961817,0.0278671069560669,0.0246134625664487,-0.00264660685563032,0.00755936319477385,0.0165421166152923,0.0140479039630482,0.0235632942971615,-0.0477276519350762,0.464285714285714,0.0474136231869203,0.0171571069470549,0.0146606081419745,-0.00789086004135562,-0.0300705396989832,-0.0271925193830795,0.00250439727560341,-0.00560428254458364,-0.00309988526898024,0.0239715689916871,0.00290856876145322,-0.00326876763260146,-0.00268800114289655,0.0100778143294386,0.0794518661061477,0.464285714285714,"2021-22","Gardner-Webb","Big South",FALSE
"98","A-10","George Mason",0.000632776208036512,-0.014470279639152,0.0325482475507473,0.0713602310336924,-0.00792296791795282,-0.00477330241523934,-0.0213383627673991,0.0254870190298604,0.00414865626246125,0.0165934591696004,-0.0174915374182364,-0.000966960070857114,-0.0047678300655418,-0.00168107376467558,0.0268246991737958,0.366666666666667,0.0184788997240181,0.00620645301469106,-0.0162771240941053,-0.0438764524771791,0.000396368542576877,0.00433238176107422,0.0164863502889948,0.000351390230260244,0.0168377405192551,0.0179945762449339,-0.00155883190366105,0.00657312976773218,0.00837364929943112,-0.0134200296465722,0.0210770438965079,0.366666666666667,"2021-22","George Mason","A-10",FALSE
"99","A-10","George Washington",-0.0088402336883343,-0.00413607754899986,-0.00514472682980501,-0.00795878405310657,-0.0222390482716704,-0.0242195533717796,-0.0207945724532177,-0.0146713722532052,-0.0354659447064229,-0.0138256543519373,0.00493093789508056,0.0117275724507029,-0.00600189142063485,-0.0011590172377214,-0.045064242478144,0.533333333333333,-0.0107874106160035,-0.022813411458153,0.0177497633564555,0.0226418529504487,5.45912250977717e-05,-0.00155318916499457,-0.02354080828096,-0.0193773943063596,-0.0429182025873196,-0.00380883193703584,-0.00173827669956706,-0.00947368540793142,-4.39935902094496e-05,0.02947319934493,-0.00477230129166272,0.517241379310345,"2021-22","George Washington","A-10",FALSE
"100","Big East","Georgetown",-0.0117144577184637,0.0161433327615476,0.00766989182115877,0.00463389138298188,0.0163949816917539,0.0134213473824316,0.0275341530914596,-0.0167880101427306,0.0107461429487291,-0.0127549948489006,0.00822323691971586,0.00231294283807509,0.00548542748164207,-0.013545876400686,0.000635958075985323,0.774193548387097,-0.0216830299885532,-0.00315113210494916,-0.0229546037777797,-0.0360109990961447,0.0150584524166191,0.0208701100325461,0.0040069788969792,-0.00151611530208121,0.002490863594898,-0.0501059836463081,-0.00179391865071661,-0.00484355658150142,-0.00202473741239187,0.00697009527833342,-0.0512622113382671,0.774193548387097,"2021-22","Georgetown","Big East",TRUE
"101","SEC","Georgia",-0.00436955322453724,-0.046144647242939,-0.012141954407787,-0.0349397047271366,0.033999398633498,0.0345267686822898,-0.0221590422023025,-0.00812015758011344,-0.0302791997824159,0.0129918369572606,-0.0248569691167073,-0.0190130440193288,0.008793826820429,-0.0312539051895907,0.0131183377766365,0.71875,-0.0501672557431167,-0.0419809028631295,-0.0194790293210684,-0.0361192246153406,0.0370529922230318,0.0532838911512701,0.00924195242545847,0.0106487158813426,0.0198906683068011,-0.0383455752289383,-0.00269265856798402,-0.0153919543531865,0.0277779431820291,-0.00839414181316513,-0.0827285579613613,0.709677419354839,"2021-22","Georgia","SEC",TRUE
"102","Sunbelt","Georgia State",-0.0175587055929623,0.0452417801562814,-0.00330534852616472,0.00226649013046548,0.0114140207423159,0.0188371187218569,0.0354402566567285,-0.0192387440606887,0.0162015125960397,-0.0187486685475776,0.0130480203935574,0.0153317570897812,-0.01808985573717,0.00220205306013074,-0.0270087389697735,0.565217391304348,0.0245734048932575,0.030234633017979,-0.0101387463003022,0.00855359772399752,-0.0083043177116097,-0.0139898615827217,-0.00839990521266862,-0.00982986505643608,-0.0182297702691047,0.000585408076507163,0.0116978429473791,-0.00118060596464243,-0.0324789991342501,-0.0105447685678154,0.0307037457746032,0.5,"2021-22","Georgia State","Sunbelt",FALSE
"103","ACC","Georgia Tech",-0.00740236431679066,-0.0156163481214572,-0.0135167468106157,-0.0424681782286022,-0.0241197620331044,-0.0269539098411768,-0.0150951706980952,-0.0076394028749943,-0.0227345735730895,-0.0041965358606578,0.0161213110764761,-0.0126335198388295,0.0123808977534798,0.0228713174820193,-0.0524412374773015,0.580645161290323,0.0122481798181947,0.0298200018823479,0.00735037122219765,0.0050506430027798,-0.00997912950561026,-0.0124344352377229,0.00567594779831238,0.00169363884729817,0.00736958664561054,-0.0180589201366965,0.00154635103947915,0.00256681543134131,-0.0186729025794375,0.0189283433182389,0.0218676013529768,0.566666666666667,"2021-22","Georgia Tech","ACC",TRUE
"104","WCC","Gonzaga",0.0812484746298651,0.0201400329679078,0.0122568747549343,0.00318194053463686,0.00552476746755829,0.00798058755545546,-0.00556896121396293,0.0773694673574871,0.0718005061435242,0.0658490092340552,-0.00436772615384201,0.0311480364875997,-0.0292204527062711,-0.034243510572766,0.180278591482223,0.59375,0.042540233610057,-0.0293718068518029,0.0181780269522393,0.0225443451414368,0.0393669831403671,0.0485139987475649,0.011483889054621,0.051493869121639,0.06297775817626,0.0565756095448901,0.015582956382771,0.0101328259784115,0.0195095364574953,-0.00134735880088603,0.14262547731272,0.59375,"2021-22","Gonzaga","WCC",FALSE
