"","conference","hoopr","FGM_off","FGA_off","3PTM_off","3PTA_off","FTM_off","FTA_off","OREB_off","DREB_off","REB_off","AST_off","STL_off","BLK_off","TO_off","PF_off","PTS_off","result_off","FGM_def","FGA_def","3PTM_def","3PTA_def","FTM_def","FTA_def","OREB_def","DREB_def","REB_def","AST_def","STL_def","BLK_def","TO_def","PF_def","PTS_def","result_def","year","Team","Conference","power_conf"
"298","Sunbelt","Troy",-0.0275435925986372,-0.00126786991151828,0.016204438822323,0.0519056460124039,0.00889642317557164,-0.0139291299229035,0.0302023329798909,0.00409408290406563,0.0342964158839565,-0.00330138499287665,-0.0126345334656674,-0.0162365737939705,0.0375990200574867,0.0147493598939193,-0.0299863231993798,0.571428571428571,0.0113456301046548,0.0463258629113478,-0.00344852714224248,0.0336700993908568,-0.0200217275593577,-0.0159955790073512,0.0419594377293279,0.0106622950307856,0.0526217327601134,0.0274700353892856,-0.018115355475004,-0.00423677041050427,0.00267162958121461,-0.00422869925241079,-0.000778994492290636,0.555555555555556,"2021-22","Troy","Sunbelt",FALSE
"299","AAC","Tulane",0.0310302778723525,-0.0411433103649554,0.0105284579225815,-0.0141304904839801,0.0383045638938187,0.020877516519612,-0.0756469213279767,0.0118717054293567,-0.0637752158986199,0.0314802078877912,0.00223485252530542,-0.00853732918515768,-0.0436897182316506,-0.0368182433436298,0.110770932349174,0.875,0.000501924792132355,-0.0358117579669943,-0.0416906375104952,-0.083155426596223,0.0246919715159782,0.0465571737795454,-0.0169520066478674,0.0183837478469103,0.00143174119904286,-0.0415142076578175,0.0177785293681136,0.0132940177176004,-0.00162540514387317,0.0166312392652702,-0.0159948164102522,0.857142857142857,"2021-22","Tulane","AAC",FALSE
"300","AAC","Tulsa",-0.023893456798149,-0.0682511590985437,0.00673327098318315,-0.0157207659595079,0.0322685472394629,0.044093623815273,-0.0427510223681263,0.0085092279782522,-0.0342417943898741,-0.0125163753085224,-0.0205843777588748,-0.00975764662989268,0.00609894225169724,-0.0021592982885877,-0.00903038579751381,0.75,-0.0320350004271056,-0.0211401945732793,-0.020967423255324,-0.0363089167108292,0.021822759337091,0.0246881332287857,0.0103235724775184,0.00188429498621631,0.0122078674637347,-0.0226593306608147,-0.0176796225223107,0.00552249969600986,0.0206009884301319,-0.0238444966920288,-0.0629996789722562,0.666666666666667,"2021-22","Tulsa","AAC",FALSE
"301","C-USA","UAB",0.0355088954086531,0.00383623135772031,0.0174115381340442,-0.0200818152950316,0.0235956029646658,0.0133903004635591,0.0160225220082191,0.0247852034415936,0.0408077254498126,-0.00808687737496262,0.0153079971018342,0.00431016330430802,0.00629455844653281,-0.000796960371281998,0.111906907178031,0.75,0.00648419838491148,0.0187656191556609,0.01379587312644,0.00485757435110427,-0.0147929856085309,-0.0254130478630871,0.0282188645043591,0.0533976112580656,0.0816164757624247,0.0234117577590459,0.00279279910693157,0.00122367737341848,0.0206349864084566,0.00806915704137427,0.0119712842877322,0.666666666666667,"2021-22","UAB","C-USA",FALSE
"302","Big West","UC Davis",-0.00978334479497317,0.00537363899868445,-0.0192814136159954,-0.0220381593565837,0.0154137817731172,0.00763583756358268,-0.00436996486877644,0.0241230850497939,0.0197531201810175,-0.0299979847815018,-0.00858902636358991,0.00623353191706549,-0.0131033723954373,0.0187016493798381,-0.0234343214328245,0.5,0.00984438502192822,-0.0480808519061614,-0.010450208787138,-0.0405551915664694,0.00920397512046499,0.00322521552515555,-0.0391896495766473,-0.0114458740715619,-0.0506355236482092,0.0189153786379068,0.00463249300814099,0.00839893782972665,0.00747210749844556,-0.00694660576887244,0.0184425363771834,0.428571428571429,"2021-22","UC Davis","Big West",FALSE
"303","Big West","UC Irvine",-0.00228887643837104,-0.0102453268226414,-0.0176803167935758,-0.0431061498376716,0.0144045412022114,-0.0176083657203985,0.00379086989525197,0.0244920738209746,0.0282829437162266,-0.0169245059269946,-0.0075858041080987,0.016702546831614,0.0217838776348686,-0.00661157248632126,-0.00785352846810645,0.5,0.00570482611657387,-0.0380019307261166,0.0231692741074017,0.0178553490028806,0.0182330030887525,0.0328805545735044,-0.0104962835593321,0.0395749213044003,0.0290786377450682,-0.00875932472203898,-0.00698261528135551,-0.00734808912948186,0.0130382031544427,0.0261111813411034,0.052811929429302,0.428571428571429,"2021-22","UC Irvine","Big West",FALSE
"304","Big West","UC Riverside",0.0461216063091523,-0.0186469947614979,0.0237851483584502,0.0196755482189925,-0.0309618100475834,-0.0339730766293269,-0.0409122984728304,0.00828692207047183,-0.0326253764023586,0.057717300340182,-0.0177684922868823,-0.0184196605025161,-0.00731714999442872,-0.0216131733993939,0.0850665509291714,0.375,-0.0240862628421617,-0.0160077430445245,0.0160139822928553,0.0488125726476105,-0.00271455837065645,0.012600459958754,0.02730396197389,0.0142152409809713,0.0415192029548614,-0.0247913555056806,0.0093104131180243,-0.00131966467436062,0.0377675026365628,0.050265549474857,-0.0348731017621245,0.444444444444444,"2021-22","UC Riverside","Big West",FALSE
"305","Big West","UC San Diego",0.00837235981250522,-0.00263982166274998,0.0530787404146725,0.100845879170965,-0.0298858354557173,-0.0570978672358503,-0.0400978300724508,-0.0136863597257322,-0.053784189798183,0.0636033014360465,-0.0123799343659669,-0.00761368499585394,-0.0123349468259267,-0.0551491945645677,0.0399376245839657,0.625,-0.0617014256954162,-0.0575858643769214,-0.0233500462649807,-0.0224118519052711,0.0407041999557172,0.0537524818487295,0.0122503667900618,-0.00482837597679343,0.00742199081326842,-0.0369345157627451,0.0112806521676694,-0.00195289494081173,0.0461851391535423,0.032908257374074,-0.106048697700096,0.571428571428571,"2021-22","UC San Diego","Big West",FALSE
"306","Big West","UC Santa Barbara",0.0437114131675356,-0.0253496913009178,-0.0262993265053741,-0.0701600515939193,0.0252705804119856,0.0405945953203529,-0.018071891885442,0.00707481428311052,-0.0109970776023315,0.0426084965618122,0.0111431841359463,-0.00118484179766763,-0.0105838225254795,-0.018810221263831,0.0863940802416827,0.625,-0.0160867666005012,-0.0146746896742667,0.013931148833267,0.00731686213422819,0.0345171272748859,0.0539445578800661,0.00458669713441414,0.0652607206475146,0.0698474177819288,0.00291500280412613,-0.0109545395413361,0.0113969045402169,-0.00447421865854828,-0.0165900652103015,0.0162747429071504,0.5,"2021-22","UC Santa Barbara","Big West",FALSE
"307","AAC","UCF",0.0129097789363411,0.0510698931479565,0.0222437175567817,0.0388617573483975,-0.0306866070427597,-0.0168303253230456,0.00717418747660472,0.00131626740232955,0.00849045487893427,0.0410469284133408,0.000213969013628466,0.0162775634602157,-0.0364903625292117,-0.0197952753921733,0.017376668386704,0.5,-0.00956769911642864,-0.0245423846969592,-0.0189635958504936,-0.0387173279074709,0.00851133209713518,0.0276544469643367,-0.0136958630013128,-0.0232859071110347,-0.0369817701123475,0.00282430167726456,0.0138457872003521,0.0107203523626854,-0.00132143496866178,0.0328758589802763,-0.0336085482456445,0.5,"2021-22","UCF","AAC",FALSE
