,date,away_team,away_odds_ml,home_team,home_odds_ml,year,exp_win_away,exp_win_home,exp_value_away,exp_value_home,result,bet,return,expected_return,prediction_correct,exp_win_away_recent,exp_win_home_recent,exp_value_away_recent,exp_value_home_recent,bet_recent,return_recent,expected_return_recent,exp_win_away_nn,exp_win_home_nn,exp_value_away_nn,exp_value_home_nn,bet_nn,return_nn,expected_return_nn,game_time,N,home_point_spread,home_odds_spread,away_point_spread,away_odds_spread
50,01-25-2022,Fordham,650,Dayton,-1000,2021-22,0.16304416261690685,0.8434228829668807,0.2228,-0.0722,2,22.28,-22.28,4.963984,1.0,,,,,,,,,,,,,,,,,,,,
51,01-25-2022,Wright State,-130,Northern Kentucky,110,2021-22,0.4104848116720807,0.5739454238277139,-0.2738,0.2053,2,20.53,22.583000000000002,4.214809000000002,1.0,,,,,,,,,,,,,,,,,,,,
52,01-25-2022,William & Mary,650,Charleston,-1000,2021-22,0.05840433793268581,0.9425728865473332,-0.562,0.0368,2,3.68,0.368,0.135424,1.0,,,,,,,,,,,,,,,,,,,,
53,01-25-2022,Kansas State,650,Baylor,-1000,2021-22,0.043044925687731314,0.9554769520471248,-0.6772,0.051,2,5.1,0.51,0.26009999999999994,1.0,,,,,,,,,,,,,,,,,,,,
54,01-25-2022,Syracuse,-180,Pittsburgh,160,2021-22,0.4770327999563653,0.5195195113049591,-0.2579,0.3508,2,35.08,56.128,12.306064,1.0,,,,,,,,,,,,,,,,,,,,
55,01-25-2022,Georgetown,950,Connecticut,-1800,2021-22,0.0,0.0,-1.0,-1.0,2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
56,01-25-2022,Auburn,-1000,Missouri,650,2021-22,0.9704778524753542,0.029888473198861336,0.0675,-0.7758,1,6.75,0.675,0.4556250000000001,1.0,,,,,,,,,,,,,,,,,,,,
57,01-25-2022,Fresno State,-210,New Mexico,180,2021-22,0.6417062772945458,0.3555019290717777,-0.0527,-0.0046,1,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
58,01-25-2022,Wyoming,180,Boise State,-210,2021-22,0.3878802998863564,0.6333083704064543,0.0861,-0.0651,2,8.61,-8.61,0.7413209999999999,1.0,,,,,,,,,,,,,,,,,,,,
59,01-25-2022,Texas,-140,TCU,120,2021-22,0.5649630994726494,0.4373570498015745,-0.0315,-0.0378,1,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
60,01-25-2022,Mississippi State,400,Kentucky,-500,2021-22,0.15676190920707495,0.8397065615761156,-0.2162,0.0076,2,0.76,0.152,0.005776,1.0,,,,,,,,,,,,,,,,,,,,
61,01-25-2022,Nevada,300,Colorado State,-360,2021-22,0.13415929371648586,0.8714112045275728,-0.4634,0.1135,2,11.35,3.1527777777777777,1.288225,1.0,,,,,,,,,,,,,,,,,,,,
62,01-25-2022,UC Santa Barbara,-340,CSU Northridge,280,2021-22,0.6560464246856673,0.3430994140699468,-0.151,0.3038,1,30.38000000000001,-30.38000000000001,9.229444,1.0,,,,,,,,,,,,,,,,,,,,
63,01-25-2022,Air Force,110,San José State,-130,2021-22,0.0,0.0,-1.0,-1.0,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
64,01-25-2022,Colorado,270,Oregon,-330,2021-22,0.3331626669383267,0.6767995185946165,0.2327,-0.1181,1,23.27,62.82899999999999,5.414929,0.0,,,,,,,,,,,,,,,,,,,,
